MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.219784645,0.2772993575,0.22911233749999999,0.21370878999999998,0.14567109500000003,0.15019963,0.14930675,0.17158356749999998,0.14800788375,0.13907024850000002,0.1587084,0.29338405,0.2477158975,0.2571356625,0.2475430675,0.18592427500000003
03-08,0.222099475,0.2807044825,0.23250527,0.21679394749999997,0.14391822625,0.14697941,0.1459795275,0.1709833325,0.145337025,0.13697810500000002,0.1565847175,0.2977032275,0.2529227825,0.2609535525,0.25135043,0.18798648
03-13,0.22519154749999998,0.284901705,0.23675959,0.2203611125,0.1410318475,0.1432955325,0.1420306475,0.16982341750000002,0.1418875675,0.13414246999999999,0.15385516250000003,0.3025669825,0.257462915,0.2642319075,0.2551565125,0.18967109999999998
03-18,0.22891340500000001,0.2903018275,0.2427878775,0.22483751999999999,0.13641676749999998,0.1385002025,0.137232081,0.16757976,0.13681694749999998,0.1296570075,0.14765640500000002,0.3084849425,0.26148098750000004,0.2671379475,0.25899506,0.19119653
03-23,0.23744864,0.2996291925,0.2523364575,0.2320697875,0.13118587099999998,0.1332074525,0.13195480874999999,0.16588904,0.13071796875,0.1254771675,0.1395790825,0.31934847,0.26723742500000003,0.2723003825,0.26471803250000003,0.19435699499999998
03-28,0.24942461000000002,0.311073505,0.26504702,0.24170436750000002,0.1252217425,0.12759285850000002,0.1266329375,0.1634856725,0.1246330765,0.12007286125,0.12877955000000002,0.331962025,0.274435265,0.2785296825,0.27137034,0.1987325325
04-02,0.261958775,0.32309763999999996,0.279778145,0.25297038,0.1201628625,0.12364586875,0.12256501249999999,0.15961995,0.11916853,0.114152516,0.1173553,0.34477808499999996,0.283055795,0.2857696825,0.27920009,0.20414448500000001
04-07,0.278019555,0.33772235500000003,0.2967686825,0.2678394075,0.11729324875000001,0.12256936875,0.121425551,0.1560172475,0.11702417000000001,0.11065412900000002,0.10937325625,0.3588354225,0.29496282749999997,0.29672417749999996,0.29063213,0.21260642750000003
04-12,0.2987296725,0.357394875,0.31696179,0.28763406,0.11499924875,0.12350792999999999,0.12194812875,0.152214755,0.11652148625,0.1082122015,0.102992155,0.3785252775,0.311265995,0.312939295,0.30686096500000004,0.22403737750000002
04-17,0.3214967675,0.378858385,0.33693721499999996,0.30954737749999994,0.11640612,0.1291472675,0.12589949350000001,0.148633105,0.118978115,0.10729453875,0.0993629965,0.39679961999999996,0.32997682250000004,0.3324439375,0.32710636249999997,0.24046224500000002
04-22,0.34375104999999995,0.398781245,0.35491174999999997,0.3307240175,0.1232849525,0.14102699,0.1344078525,0.14547083,0.1253064425,0.107210629,0.09831116025,0.40643469,0.3498375275,0.35297188749999997,0.3508041475,0.263040385
04-27,0.36224956750000004,0.4131566725,0.3690516925,0.34825602,0.13496255000000001,0.15840144750000001,0.1463464675,0.1402737775,0.1336692585,0.10607367375,0.0979661075,0.40153981250000004,0.3674371475,0.3706891175,0.37483137,0.28979576
05-02,0.3753884025,0.4193397725,0.3769953825,0.3603229775,0.15438530250000002,0.18416259,0.1636677375,0.1343295885,0.14513003000000002,0.10539203875,0.09923246224999999,0.38205547500000003,0.379342795,0.3822075775,0.39585005749999996,0.31758696
05-07,0.38565196749999997,0.4208660325,0.38066605249999996,0.36899794,0.1812526125,0.218359575,0.1872083925,0.13003893125,0.16175231750000002,0.1063293515,0.102045499,0.3652244375,0.3872887625,0.388586015,0.4130426575,0.3431295375
05-12,0.39481358,0.42058080500000006,0.37986686999999997,0.3751775625,0.214577305,0.2590683075,0.2162222675,0.1282726225,0.185294375,0.10936458599999999,0.10669572375,0.3624476875,0.38950631750000003,0.387669645,0.42364115,0.36303495750000003
05-17,0.4043425525,0.4206382425,0.3752425725,0.3792933875,0.252165435,0.303008505,0.24951139500000002,0.12961392625,0.2177176875,0.11584608000000002,0.1146220215,0.37798848500000004,0.386287225,0.38048111250000005,0.42906791,0.3791383975
05-22,0.41243509500000003,0.420020605,0.36685213250000004,0.3801655075,0.2871396925,0.34039324000000004,0.2816912025,0.13307373625,0.2559546075,0.125624304,0.126097216,0.4073422325,0.377797,0.36756959,0.42810203,0.39056770249999995
05-27,0.41695552,0.41600828,0.3534791825,0.37584628999999997,0.314871515,0.363348425,0.30627638999999995,0.138385485,0.29448174,0.1419083565,0.1433204025,0.4371311225,0.3626543925,0.34953918250000005,0.419701635,0.39643528749999996
06-01,0.41319625249999997,0.399195465,0.33358736499999997,0.36383691500000004,0.33250039000000003,0.37083333,0.3203256,0.146683819,0.32712444999999996,0.1682973025,0.168586065,0.4509105625,0.3418369275,0.329732975,0.40477911749999995,0.3958050975
