MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.32062546000000003,0.36100348,0.3321760225,0.32127025,0.2345821475,0.24116458000000002,0.24308421,0.265005855,0.2378513675,0.22277144999999998,0.24068931,0.36270429,0.352955925,0.360612905,0.35294744,0.3291742675
03-08,0.3220424875,0.3639972275,0.334325345,0.3227154175,0.2277108,0.23352994,0.23538450750000003,0.2610395725,0.2305347525,0.216967615,0.23502926249999997,0.3645836925,0.3544275675,0.36158913249999997,0.35583159,0.3294680475
03-13,0.32913116000000003,0.372430615,0.34021904999999997,0.3278704025,0.2228568025,0.22735601,0.2297971825,0.258998625,0.224617305,0.211892105,0.2317410825,0.372123035,0.36017916250000004,0.366014055,0.36327535499999997,0.33454673999999995
03-18,0.3332691625,0.37850135250000005,0.34486597500000005,0.332105545,0.21421022750000002,0.21925997749999998,0.2214774225,0.2546076175,0.21651945250000001,0.20482929,0.22332409250000002,0.37666943500000005,0.3633486575,0.369287595,0.36730995,0.33605595
03-23,0.3398416125,0.3862322525,0.352082125,0.3381463375,0.2039542575,0.2105708475,0.21244352249999998,0.249516205,0.20703876250000003,0.19693464,0.2114109525,0.38332518499999996,0.36682975,0.37314693749999994,0.371897875,0.33777161749999995
03-28,0.3505371225,0.39709423499999996,0.3629123325,0.3464536425,0.192792405,0.20188964,0.203485575,0.24376738,0.19662200749999997,0.1882880075,0.19637770249999997,0.39327065000000005,0.3725773,0.378994135,0.37891338249999995,0.3419983525
04-02,0.3633091425,0.408808125,0.3751970775,0.35618555,0.18270539,0.19483876,0.19590937,0.2367389675,0.18716928500000002,0.17997420000000003,0.1811484025,0.403459385,0.3794244225,0.38597117000000003,0.3863705125,0.34757302749999996
04-07,0.37737958000000005,0.4210158525,0.388652855,0.36856278,0.17557718,0.1911283125,0.19131732,0.22932272250000002,0.180836655,0.1734406125,0.168476695,0.414039315,0.3881358525,0.39492078750000004,0.39561096,0.35506156000000005
04-12,0.39677286749999996,0.4399348125,0.407842655,0.38703246999999996,0.169465975,0.189197105,0.188880595,0.22221241249999998,0.1765392825,0.167874975,0.1564360525,0.431089825,0.40231866250000003,0.409739115,0.410707515,0.366865345
04-17,0.4191806375,0.4609181375,0.42764173749999995,0.4087197925,0.1694199875,0.1942012325,0.191866665,0.215686675,0.1767505875,0.1647988875,0.148488505,0.44689306500000003,0.4187868175,0.42763758749999997,0.42954264,0.3858192725
04-22,0.44217286499999997,0.480222305,0.44577857,0.43013754249999997,0.1785029725,0.2084970075,0.202193705,0.2101494425,0.1827423675,0.1630362875,0.14479236750000002,0.45316178,0.43475197250000003,0.4451297825,0.449757555,0.409728065
04-27,0.4625382125,0.49568974,0.46066486,0.448355515,0.194300925,0.2298859325,0.2175754275,0.202408315,0.19157408,0.15949834499999999,0.1421334475,0.445720935,0.4484551675,0.46037054,0.46963554999999996,0.4366465125
05-02,0.475187755,0.502035425,0.46801508,0.45906559,0.2189504975,0.2600975925,0.23871892249999999,0.192692275,0.20380463249999997,0.155749085,0.14100095499999998,0.4237525625,0.4559454425,0.4685466375,0.4843184875,0.4585049275
05-07,0.48161576,0.5022889325,0.46964566,0.46412435999999996,0.24968135,0.29613041500000004,0.26463330749999997,0.184194035,0.22124062,0.15365724999999997,0.141529085,0.4031862675,0.45867543,0.4710361125,0.49360647500000004,0.4737397400000001
05-12,0.48424306,0.4998743525,0.467146185,0.46520911249999997,0.2831544875,0.3331190575,0.2934144825,0.178912105,0.2450092575,0.15418053999999998,0.14382486249999998,0.39624072749999995,0.45759979500000003,0.4681062875,0.49801627249999997,0.48290696749999995
05-17,0.48518833,0.4962205875,0.4607657125,0.46401990249999997,0.32118042999999996,0.3714005525,0.325795275,0.17811439,0.278119445,0.1596226775,0.15065688,0.40574696749999994,0.45242619250000005,0.459446075,0.49797923749999995,0.48776942749999996
05-22,0.48772944,0.494624125,0.45375235,0.463162755,0.35944742749999997,0.4055742725,0.3583885675,0.1814746975,0.3175011725,0.1703331325,0.1625460175,0.4283147875,0.44554848999999996,0.44900945750000004,0.496411985,0.4925316475
05-27,0.4924858725,0.4938294425,0.44587689249999995,0.46193859249999997,0.3916889225,0.43004124250000003,0.38502991999999997,0.1889522025,0.356871345,0.18984514750000003,0.182103165,0.45537254250000003,0.4370802775,0.43843449,0.49438621,0.4998110725
06-01,0.49190218499999994,0.48138639250000004,0.4336149675,0.45574059,0.41337514000000003,0.443413585,0.40283468,0.2016522625,0.39018184,0.22136772,0.21131091999999999,0.47139913749999995,0.4252465975,0.42637957249999997,0.48778380500000007,0.50345522
06-06,0.4814472425,0.45409878,0.41514028999999997,0.442057105,0.42385567,0.44600856499999997,0.412336495,0.21802274,0.4147456725,0.2642330975,0.25015463250000003,0.47222823,0.410750875,0.4141380025,0.4761226375,0.5013655075000001
06-11,0.46550243,0.41235108000000004,0.392831975,0.42371254,0.4283226975,0.4427871375,0.41556561499999994,0.24234022249999998,0.43005154999999995,0.313596255,0.2950214075,0.463794845,0.39933158,0.404787265,0.46459512750000004,0.49552616499999996
06-16,0.4484782925,0.36044824,0.36997678,0.4030857,0.4297158825,0.438188875,0.4164420625,0.27738833250000006,0.43833278000000003,0.36154418499999996,0.336602645,0.44836462,0.39426388749999997,0.3999094475,0.45671487499999996,0.49141816250000003
06-21,0.42530134499999994,0.304561125,0.344257775,0.3760424925,0.42492481249999997,0.42774082499999994,0.41138396,0.3168431175,0.4359865475,0.395974975,0.36510507,0.424565085,0.3899361925,0.3947218525,0.4501538425,0.4875601825
