MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.08959553080071463,0.10202967047903515,0.09371809107664891,0.09395242737438228,0.07468800476478665,0.0775749928042566,0.07967180278474523,0.08605974846300912,0.07759249501389698,0.0785099078671106,0.07750908157759236,0.10459427334146856,0.10463121472500264,0.11450130312684981,0.109689006725714,0.1059895096050857
03-08,0.08996760072757091,0.10324109229831618,0.09428384489493294,0.09471976080472344,0.07457312361028713,0.07626204698993687,0.0788998978115102,0.08582211919512339,0.07682796027076089,0.07678668505111,0.07717842686464452,0.10533182518817097,0.10638338564918534,0.11442585095051695,0.11132527131803346,0.10594976596782418
03-13,0.09522579118738494,0.10789997844272914,0.0961522407750821,0.09714213521037353,0.07470079250220707,0.07460570449688869,0.07733744356019183,0.08539259864705268,0.07523289733405553,0.07466839648016364,0.07826900073705789,0.11010887758213214,0.1080888546699136,0.11362927336414926,0.11404927556929118,0.10720685738387262
03-18,0.09452342747122904,0.10777618079158495,0.09621620397630631,0.09705436004237897,0.07444346423449692,0.07282117172044586,0.07530393744855682,0.08391778252780613,0.07307666828646348,0.07200590336900557,0.0771851222531792,0.10936190939267267,0.10815053475683456,0.11200104247930026,0.1134041101968908,0.105994790091747
03-23,0.09386228659042375,0.10760089090575775,0.09619173653806849,0.09672204337719825,0.07418103788788898,0.07092179788584002,0.07333898087716009,0.08234920394091103,0.07074333113193997,0.06951602118548547,0.0748276144835905,0.10860843723844481,0.1072629661936868,0.1100264112396359,0.11171245065022581,0.10331258369478508
03-28,0.0951931081365135,0.10955380468013307,0.0975756317285134,0.09767060655096038,0.07326122476121039,0.06855504287040767,0.07180056590027944,0.08090325775800539,0.0685883517673806,0.06743991371770303,0.07085309796795378,0.10974872930025474,0.1070348597473183,0.10930946415232817,0.11144300646271907,0.10219837435024048
04-02,0.09787035520610418,0.11254193850753405,0.10002240587559262,0.09925095688358068,0.0708772394822788,0.06586214450286122,0.06978073823560682,0.07909609275143187,0.06671293944318668,0.06527341947355952,0.06634546955147749,0.11199836048650405,0.10722859260186249,0.1102099756381714,0.11199421037274404,0.10172297580680931
04-07,0.10291294015016442,0.11653097830228118,0.10381591519672105,0.10278488716673845,0.06785285729376812,0.06484135919333242,0.0685120009065429,0.07811720235157335,0.0664686859358706,0.0645919031745605,0.06397048051747091,0.11556428701800854,0.10966104980675796,0.11421738474145235,0.11504774965018336,0.10476523124264145
04-12,0.1072960548964647,0.12151203795187622,0.1095082168230765,0.10815965772664402,0.06475840783226228,0.06487572618289264,0.06750705020275302,0.07858738677572438,0.06796936357381635,0.06561644860361787,0.061804816677799496,0.11924952370073968,0.11394404671285563,0.12036155370826977,0.1201029546303362,0.10900183607354252
04-17,0.11432349596943003,0.12851281868944847,0.11614646910431067,0.11548899082874522,0.06438822856610697,0.06793878344859718,0.0691012177786232,0.0802539246835914,0.07141554987659315,0.0679005296586287,0.06282639471968297,0.12373472050334278,0.1203519301371805,0.1282064638878852,0.12781966621361945,0.11734165587432994
04-22,0.12237052219220737,0.1354292165659866,0.12223072229651705,0.1228717676557391,0.06740017980531948,0.07428833242211397,0.0735819689157423,0.08242088846050735,0.07674839953894552,0.07055702342209208,0.06584930791026772,0.12563927295695032,0.12638931405130063,0.13555828145353058,0.13547946184714244,0.12725847731329312
04-27,0.12900006363220717,0.14029611370902306,0.1264487519777233,0.12843327238417213,0.070365181923994,0.08127392285916504,0.07850948056778839,0.08274837882232908,0.0817621682637408,0.07168041488383756,0.06794482905648633,0.12340106583654883,0.13050764661416903,0.1409339975306737,0.14196728536618833,0.13652883463133864
05-02,0.13315847067760211,0.14204569778995957,0.1283333133405114,0.13132721094135372,0.0748678333642339,0.08974494264406743,0.08406698021297643,0.08091962031694443,0.08622313361093352,0.07184982595995615,0.06894071635402807,0.1178853794163931,0.13192401483748384,0.14316677799144864,0.1462860839479819,0.14320557218887103
05-07,0.13481710483172094,0.14153819270618284,0.12866921300226528,0.13206222252763491,0.0810423090862473,0.09912239102224604,0.09021075131049071,0.07852339544538763,0.0914203104887561,0.07196622353580592,0.06918771045616867,0.11308792502391944,0.13147990945742274,0.14317021742670616,0.14840153152710295,0.14711298519324126
05-12,0.13390138025024495,0.1388290627050456,0.12680771871030655,0.1305455737572592,0.08728607390169524,0.10754088299841703,0.09616041754241111,0.07699459546743025,0.09767709363381219,0.0731466114357473,0.0697153983841444,0.111845555554726,0.12875972761803067,0.14006098744066656,0.1477772956616561,0.14725242558521984
05-17,0.1330901579231954,0.13675100606932616,0.12359449697357888,0.12872638065309688,0.09527598874310306,0.11671816126589375,0.10290444300477565,0.07642773152115961,0.10587138976309513,0.0760294546113173,0.07143933919639389,0.11544541768882141,0.12464677898892512,0.13429213265060885,0.14545012194308335,0.14538936344851774
05-22,0.13441291327665011,0.13683024454579717,0.12046083856996812,0.1279036725158904,0.10393003923031745,0.1249401801223157,0.10968365723321616,0.07767362856798488,0.11497832412765827,0.08168079725755048,0.0749322296592898,0.1236458866008128,0.12070213437713218,0.12827837413469528,0.14298615872709727,0.1442658099705705
05-27,0.13663922532032896,0.13694355779715034,0.11662772896437115,0.12691410137106954,0.11219213016858151,0.13095578931406104,0.11586701564703437,0.08155101881648985,0.12247418931737689,0.09201270288035047,0.08009187080029181,0.13123480349089822,0.1172184734415298,0.12299984039181917,0.14019103107502662,0.1440729526413731
