MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.09840517124999999,0.127141921,0.1075816815,0.10200022875,0.09735453499999999,0.08921791,0.08914459475,0.09453743149999999,0.089396246,0.082912656,0.08610727975,0.09572486999999999,0.11204941125,0.1142096985,0.11041596000000001,0.08141353750000001
03-08,0.097244765,0.1260438775,0.10788210999999999,0.102618117,0.09436167250000001,0.087938085,0.08737481,0.09325115750000001,0.0876992425,0.08122197,0.0839994575,0.09462550525,0.111799755,0.113594495,0.10988320399999998,0.08345395625
03-13,0.1027615665,0.13064903649999998,0.11096045125,0.1061169425,0.09672549500000001,0.08891663400000001,0.08878930225,0.0948763725,0.08823740399999999,0.08110996250000001,0.08607009225,0.099895465,0.11624200000000001,0.11651985,0.1142172775,0.0894007535
03-18,0.10228135124999999,0.130245065,0.11079854850000001,0.10721278100000001,0.095074745,0.088726334,0.08734963500000001,0.094280865,0.0874528755,0.07944959,0.08447250499999999,0.10138929875000001,0.11681675,0.1171924185,0.113259533,0.09010963749999999
03-23,0.103283405,0.129798215,0.11199994900000002,0.10926433749999999,0.0937039725,0.0888029625,0.086372295,0.09391520249999999,0.087035215,0.07960047750000002,0.08263284625,0.103355754,0.1167934625,0.1173280155,0.11214785499999999,0.0906286075
03-28,0.107361265,0.13164922499999998,0.1156364425,0.11302939625,0.09320274249999999,0.08995223,0.08678208875,0.09508759250000001,0.08782247500000001,0.08088281500000001,0.08224579225,0.1071438525,0.11873552125,0.11997532849999999,0.1145871415,0.09375457499999999
04-02,0.10779670000000001,0.12869845,0.116660966,0.1140676575,0.0914549675,0.08988042475000001,0.08639709725,0.0940100525,0.08734055624999999,0.0804929875,0.08009811,0.10663504,0.11840811500000001,0.12068907999999999,0.11450679999999999,0.09439267975
04-07,0.1091328,0.1263551825,0.11718619250000001,0.11539435,0.08991860875,0.09009763900000001,0.08601208099999999,0.0926584225,0.08673122025,0.07949666124999999,0.07848578,0.10740697299999999,0.11954815875,0.122680175,0.11534549500000002,0.09675809975
04-12,0.11305655125,0.128701564,0.12191389,0.1206073925,0.09137485024999999,0.09218752,0.0880975225,0.093625406,0.0884539525,0.079683681,0.077407162,0.1076922475,0.12570860749999999,0.12849659149999998,0.120942995,0.1022011865
04-17,0.11886035750000001,0.13393962499999998,0.1287364885,0.1288025935,0.09527924375,0.0965715325,0.091863135,0.0960508025,0.09181258900000001,0.08149914,0.078714586,0.11998053624999999,0.13597839,0.1381677475,0.13105848250000002,0.113580608
