MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.02661416135792073,0.034983903578510424,0.0306642905373725,0.028304355132009323,0.024914418623701026,0.02631512196341175,0.025965150527494377,0.028388602657877876,0.025213860955206377,0.0250088746248957,0.023001920905069452,0.026063652084879325,0.03228310738565685,0.038224579898730404,0.03525129462640642,0.02865256152125513
03-08,0.0246604158296643,0.033283099645317775,0.030353003070643526,0.02806604101741655,0.02575751878681905,0.026476012711339925,0.026173884814422673,0.028481121236953875,0.02549786163056945,0.025253320328643275,0.022614115219822723,0.024788937145341774,0.032355306072000975,0.037378933428620975,0.03458200796298292,0.028148218739720197
03-13,0.031894657210558404,0.03982859144814782,0.032225162016881276,0.031205859786840724,0.027009397418216424,0.0267657834946184,0.02612645441195015,0.029926164017536477,0.026157587583780752,0.025765706251116925,0.027306198133804874,0.0297832460183868,0.0346873554219819,0.0381253221850099,0.03765662066109472,0.031397228666729726
03-18,0.031443637448255526,0.03893501664257297,0.032092954247697876,0.03129713979132647,0.028101619705558425,0.026968495997984527,0.02531530186203565,0.029620303026345923,0.026267839590823697,0.025180823504257526,0.02745562064516425,0.0300377918637356,0.0349445990010039,0.03681570565058727,0.03632955323182318,0.030015993871032848
03-23,0.030443820218082153,0.03673371466125865,0.031233104949232576,0.031062988786409052,0.02913977668305045,0.02643878173077128,0.024253295280176227,0.029067471885576852,0.026089005419791172,0.024342369172811323,0.026602650769673976,0.029624386892915397,0.03405379873343822,0.035173963879386705,0.03342052336410365,0.027873124645766405
03-28,0.030964132226126827,0.036553626615390376,0.031185991140862748,0.0314837883736619,0.02973705459404575,0.026196450699848127,0.0238987959654632,0.028442068172459797,0.025991354107764778,0.0233561731816922,0.02566581428810035,0.030333382466514874,0.033746350609391504,0.034375282985990976,0.03264553581123482,0.02777218455954935
04-02,0.03033795166653635,0.03524179181286045,0.03156024798944705,0.03167965164415348,0.029699020770962623,0.026633993817215203,0.024419221152482525,0.028094509366998102,0.0263883398619583,0.022684691396419022,0.024552651318872097,0.029662130518032175,0.03298289829949653,0.033999477226366426,0.03238129764846787,0.0275432361766047
04-07,0.034565625807253024,0.03910687499325917,0.03400674693794363,0.034053028221818354,0.029906764005527022,0.0279154349985358,0.025294751654021074,0.029273245521193578,0.027382479297747925,0.023831163273437175,0.026335000281715676,0.03574060880556825,0.035380181344993725,0.03794228474148108,0.03525432216799463,0.03144011632388667
04-12,0.036056711354739944,0.039936860451612675,0.03636226483769087,0.03639716617752827,0.030852855913104077,0.02907586858140862,0.026311968550138825,0.030519268944564498,0.02873086750050277,0.024715193869321625,0.026058388668996173,0.0340099236600754,0.03751202103112555,0.03988655482394425,0.036786457608261554,0.0327975672089994
04-17,0.038188169200047827,0.04205541621316915,0.04040683520069957,0.0403215753227186,0.03273515282002372,0.031159407189496575,0.028012891838112272,0.03241772716001085,0.030515928795488097,0.026039923081987548,0.027200350727325327,0.0393219641475145,0.04242202736847005,0.04406580522716905,0.04158826074710347,0.03790305152868378
04-22,0.04109282354819323,0.045096527687819896,0.043492424937321354,0.04355332213291925,0.034245860724504626,0.0332532965197321,0.02966570963313625,0.033667164497666394,0.0322053423311342,0.027069138628125523,0.02809185188483155,0.049107411629305,0.047097950389363596,0.04874865512732867,0.045907481794261525,0.04411484575710532
04-27,0.04338532918195162,0.0473924298727441,0.045416187332620574,0.045932487690783376,0.035731637729026974,0.03636991541042658,0.0319552273587666,0.03457724716078112,0.03449387590577705,0.028083143335694727,0.029387920755055273,0.058755806636266755,0.0510936961141571,0.05355364468679365,0.05025734320247447,0.05145614488189418
05-02,0.04253137558844687,0.04558557792787398,0.044688623514064024,0.04571043754757843,0.03635526829666772,0.03892204423086145,0.03319716385802718,0.033815852132269245,0.03583797055043593,0.028061633029341126,0.0299939436466504,0.06473776248580393,0.05045615832937057,0.05348273569451373,0.05151248566426187,0.05500197494359778
05-07,0.0385028505658617,0.0402030269793401,0.040935373160541896,0.04208553732118722,0.03536527900036547,0.04000345622352948,0.03287843076014073,0.0316203118741296,0.035882447271810475,0.027004323705984976,0.029543659142738325,0.06614732800251676,0.046075541982059876,0.04944267981743705,0.048628614102674356,0.05324897259168858
05-12,0.0343876581996422,0.03570670764482248,0.037665391290516104,0.0381711674394154,0.03340635494103952,0.0397467395804927,0.03224545356738213,0.030221692619022272,0.035638041165513924,0.02637137732808857,0.028589983362530227,0.0627218640084081,0.04148021434878027,0.044871221943174174,0.04532045709530698,0.04992716248334792
05-17,0.0317705096836398,0.03406499690491615,0.0344963463547585,0.03484773454568223,0.03226599117311853,0.03980523379356208,0.03158748113867002,0.02859666599035865,0.03516757265698502,0.025085584008736277,0.027047813655123022,0.058331391137540975,0.03808651405117677,0.040521599654283126,0.042524856804242075,0.04554712161302073
05-22,0.030275500188243723,0.034735615664392025,0.03244106264446243,0.032779815648264946,0.0326292865753933,0.040751793826259874,0.03201491118753377,0.028109457657099223,0.0356813302010911,0.02497224771103745,0.026949507929968274,0.05470268076175683,0.03640735148694903,0.0379936083524443,0.04129617717611427,0.0422812710370537
05-27,0.030759383323019824,0.0381636142519947,0.0318993374406725,0.03234123815904058,0.03411470221713402,0.04262214188655037,0.03367842369908418,0.02929221932540915,0.037360516432295175,0.027384408357483847,0.028757450855810322,0.050985352273572426,0.03607387978663022,0.03759112008484865,0.0417207100934316,0.042419719476457896
06-01,0.030341086527418,0.040679973420788974,0.031094193613577577,0.03242555960349342,0.03499627376285107,0.04212474806264545,0.035043178089812325,0.030563444585978254,0.039246358324714896,0.030799555133163552,0.03048407994792795,0.048542760224474554,0.0362974984246725,0.03764692026672532,0.04278677346317292,0.042284515879601275
06-06,0.034657197934567674,0.049336037377858154,0.03405120847683992,0.036918896797360504,0.03889998312577003,0.04437555502931247,0.03925342322063715,0.033936466895834676,0.04379844538925458,0.03672697423223488,0.033909823407351755,0.051537757376243123,0.04090598590602055,0.04269705404245098,0.04805427650156757,0.04711988443993905
06-11,0.03270260258303385,0.047370686021240574,0.03490785150470273,0.0369290319320702,0.039383497398855244,0.045565823049451296,0.04086885694292865,0.0367407653183553,0.04559107592353302,0.04214379380969898,0.03649515902439858,0.04875400049448607,0.042245562363584344,0.04363385204226195,0.04753065584820294,0.045872438223340944
06-16,0.035973009368316926,0.044924081440041626,0.0361582514622057,0.03968486751684772,0.04028533103958805,0.0471983462422335,0.0419182459994756,0.039424242854548,0.046937813553867,0.0476769676958191,0.040154171031505974,0.04636789135328137,0.04270418843316825,0.04432594070181675,0.04584140630066498,0.043969554887883774
06-21,0.043629665417921876,0.0463901388659334,0.0386188931388692,0.044111157530480526,0.043357175278333146,0.05157463301488352,0.043938908703923155,0.04338926317550992,0.0501191396551935,0.0535399163374206,0.046656827551891045,0.05121104637672678,0.045099688371831245,0.0463742852289657,0.047544831511280854,0.048659565149195824
06-26,0.048069151081885746,0.044658355926594076,0.0388750431278698,0.0446068753056844,0.04480064062304305,0.053688423346694575,0.04344603605928313,0.04503113144448745,0.04924477811129882,0.056320803864593,0.051101444005165426,0.053727075948184023,0.04459137576925898,0.045531313135758006,0.04733197516418448,0.05047418911329457
07-01,0.044251676929333926,0.03998386058110193,0.037027784767960724,0.04272806626303877,0.04426091083820795,0.052654393237451746,0.04175180410001452,0.044366212725702674,0.04768520552532543,0.05157805336213898,0.04737063521970358,0.0480618007787994,0.043226534639642405,0.042884584379650974,0.04418417460503675,0.048708486008524024
07-06,0.04037404355723642,0.03669855147575915,0.03588186080486645,0.039355554136277476,0.044910308819847755,0.05095679306142388,0.040001719872338797,0.0437888744530953,0.04490240640307045,0.04840578320163773,0.0445684926748862,0.0427373562305976,0.04109048841412277,0.040801102938564024,0.04285939856077829,0.047547445912695024
07-11,0.034671033759198444,0.03232595499676313,0.03411442790516915,0.0355951973263058,0.042497247061555374,0.04597603106341007,0.036833630066776826,0.041540593735311,0.04056098502839092,0.04349870679358665,0.039065568648459476,0.035508757648081826,0.037482897112159505,0.03758295195568937,0.04054923319256463,0.04326969246586498
07-16,0.03181104547033077,0.02991712482546365,0.03427442225134325,0.034266162500367674,0.04033912768560648,0.04301685201481477,0.036004016912001696,0.041358891314789724,0.0386329361441536,0.0434565939488533,0.036568927011250925,0.0317127616326661,0.03610263664090135,0.036988022595039624,0.04016996232186295,0.04174232608688755
07-21,0.029756547531702524,0.028442365905434502,0.03470203323178595,0.0332330358048388,0.037742681375010474,0.040403850440906,0.03539149637699525,0.040891185486241904,0.037034474927250476,0.04345148731744072,0.03385587284790303,0.029060295767669,0.03483265056601332,0.036212590981509925,0.03984509987661945,0.03945150472931262
07-26,0.032724332732026976,0.0284243395226432,0.03243142303159682,0.031819531578099525,0.03574802100841357,0.04031334961636332,0.03264930228941035,0.037143232705194575,0.03316183289743975,0.04099631244709985,0.037474525153611125,0.03017664242125845,0.03264302723842988,0.03413284479789635,0.0396454370579359,0.03845361922824012
07-31,0.027311836143807826,0.0261450802896119,0.03006610011016,0.030099476744736522,0.031342635479027776,0.034380694100625823,0.031126021693910128,0.03533452380118088,0.031202578347555174,0.037171226118368,0.03532806412325042,0.026488000011818474,0.03162161836731195,0.03178591797235025,0.03800112978866585,0.035077755322357775
08-05,0.026077760151853226,0.025249640783257227,0.028066283185260325,0.027739739122262772,0.028367219221873876,0.03207477339219285,0.029791794293698347,0.033328263768256074,0.028579098427229846,0.03176407991471405,0.03272426159256685,0.025747363002964926,0.030242984736849422,0.030567816005999476,0.037522096510601774,0.032888934222867094
08-10,0.02403207789296865,0.02344966717829662,0.02586391048296833,0.0251493312797849,0.02681440561371143,0.0290628112355001,0.026945164608040823,0.03079794101695225,0.025665135604458877,0.028103564472066397,0.03079109348957925,0.024280762634475622,0.027501306350850022,0.02705571957415755,0.0347213263087431,0.0293467671452366
08-15,0.023905042113264677,0.023521080124955226,0.026105316682237346,0.025392406803827025,0.027099461495834375,0.0286254515078634,0.026669195952204724,0.0309855059637261,0.025428752638100825,0.027708324723614924,0.030874682268195598,0.024952145264384426,0.02792672373022412,0.027143238499729876,0.035761023210906503,0.030932356513224325
08-20,0.023109231283001623,0.02304224502873605,0.025467088039490424,0.024331671037806778,0.026427986913789628,0.027571644696642375,0.02526846464277405,0.029115998862228324,0.024405426104512525,0.02551256098808235,0.029188994170639027,0.025051340904385745,0.026419970760103523,0.025888297813726,0.033483139481486325,0.028537692778879874
08-25,0.022416539096393375,0.022459996993478577,0.023764838850963275,0.022616022056827598,0.025788223056575,0.025933054927164825,0.02383993688641413,0.026662726502962524,0.022767556559073775,0.021265596234264425,0.030320558755062076,0.02503193651761875,0.025534713247271027,0.025012696173167676,0.032318067296172225,0.0267214735588495
