MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.2048310325,0.249557545,0.2153242775,0.20230712250000002,0.14466057499999999,0.146993865,0.14740927250000002,0.1657759975,0.1456713,0.1369463025,0.15177684249999998,0.258253455,0.232375265,0.24017507499999996,0.233094915,0.18221164750000002
03-08,0.2069316025,0.2528835225,0.21833178250000002,0.2048286275,0.1423054935,0.14350130349999998,0.1438768975,0.16477019999999998,0.14268704125,0.1346520925,0.14970501249999998,0.26180827,0.23597835749999999,0.24297284,0.2362089825,0.183699055
03-13,0.2112890925,0.25866449999999996,0.2234321875,0.2092468675,0.1401692275,0.14066165749999998,0.1411656925,0.1644258725,0.1399896675,0.132443925,0.14785696,0.26755435,0.24113105,0.2469954825,0.24128512000000002,0.18672220750000001
03-18,0.215541325,0.26390220249999996,0.229046045,0.21412114,0.13608636775,0.13687007750000002,0.13728172625,0.16320832000000002,0.13604845,0.129133705,0.1431669415,0.2727564025,0.245144235,0.25048741750000003,0.24511814999999998,0.18912447
03-23,0.22216400749999998,0.2709688375,0.23675585500000002,0.220615535,0.1310007875,0.132615644,0.1327795075,0.16163074,0.131151665,0.125147725,0.1362610525,0.2804869,0.24967934000000003,0.2548307175,0.24972048,0.192302995
03-28,0.2322170825,0.2806365125,0.24721360250000002,0.2289682475,0.1251672175,0.128067641,0.1279294125,0.15928331750000002,0.125398505,0.12010439125,0.12697641,0.29121788249999997,0.255884905,0.2606721675,0.2558484575,0.196730045
04-02,0.24418044,0.291005575,0.25895025,0.23864694749999998,0.1200400635,0.124572079,0.12408388,0.15592945,0.12042063500000001,0.1152262525,0.11776552375,0.3019473425,0.263074355,0.26739347,0.262632355,0.2025653925
04-07,0.257473035,0.30234411000000005,0.27191573,0.25042554,0.11679548125,0.12327393375,0.1225521675,0.15239867499999998,0.11793214875000001,0.11179941600000001,0.11029310525,0.31288202499999995,0.2720437375,0.2760422175,0.27130825,0.2098915575
04-12,0.27463239,0.3184437325,0.2886319725,0.26699570250000004,0.1146668015,0.12392156125,0.122847455,0.148816355,0.11713755,0.109295805,0.103931974,0.32813512,0.28533958,0.28921708749999997,0.2847897775,0.22002883750000002
04-17,0.2946074675,0.3371960075,0.305944045,0.28624214000000003,0.11636816,0.1291971175,0.1266275685,0.1457674075,0.1193397625,0.1084704225,0.10039963125000001,0.3443648975,0.3013297175,0.3057396325,0.3021068725,0.23532793749999997
04-22,0.3140267925,0.354333925,0.321284445,0.30460939249999996,0.12355645374999999,0.1403647575,0.13488117500000002,0.14314251,0.1252658985,0.10848253000000001,0.0995005075,0.35565327999999996,0.317548135,0.32246979,0.321382695,0.25535024
04-27,0.33029057250000005,0.36717001250000003,0.33342969749999996,0.319841695,0.135259155,0.1566515925,0.1464829975,0.13894895750000003,0.13327839,0.1075625915,0.09926894225,0.3578033375,0.33180430749999995,0.3370930275,0.3405031675,0.278287705
05-02,0.34073235249999995,0.37213030999999996,0.3394583775,0.32934320749999996,0.15336221249999998,0.1798353375,0.16244292500000002,0.133563195,0.1439093275,0.10672076875,0.10025631,0.3486634325,0.34080684000000006,0.34585405249999995,0.35593719,0.300161585
05-07,0.347415515,0.37219763250000004,0.34093537249999994,0.33477423250000005,0.1768429675,0.20886163,0.1827612275,0.129122495,0.158587685,0.1070320625,0.1024774535,0.3391608075,0.34530923,0.3492106575,0.3670007,0.31851346
05-12,0.3525377825,0.370792895,0.3390492175,0.33779514,0.20403016499999999,0.24104986,0.20642994750000002,0.1270231375,0.17842442,0.10916169975000001,0.1060773165,0.33747288,0.3456321725,0.34730539250000003,0.37319918,0.3319062325
05-17,0.35656495499999996,0.3685955275,0.3333131575,0.338299115,0.23336730249999998,0.27362914,0.2321352225,0.1274806475,0.2044931425,0.11424999250000001,0.11238043225000001,0.34529236750000003,0.34155437749999995,0.33988188,0.37481893499999996,0.3412189875
05-22,0.360374405,0.3670107775,0.3258018275,0.33748143750000004,0.2613271575,0.3013853575,0.2570935575,0.13024879,0.23470494249999999,0.1226458725,0.12210019999999999,0.3598603175,0.334313015,0.32944668,0.3731111625,0.34811746749999994
05-27,0.36489172999999997,0.36619556750000004,0.3171577375,0.3354643075,0.2855315875,0.3208339225,0.27787327500000003,0.135725634,0.2656281075,0.13758665250000002,0.13761761250000001,0.3754259525,0.32421098000000004,0.317899615,0.36920511999999994,0.3545154
06-01,0.364096105,0.3569064275,0.3043132775,0.32869941,0.30195223,0.32985511999999995,0.29141353,0.14441809,0.29221608750000005,0.16172596,0.16042240500000002,0.38190269,0.3109018975,0.3054393125,0.361163265,0.3568635425
06-06,0.35569577,0.3369371625,0.2866721775,0.31580577,0.30958779,0.3292239825,0.29790649999999996,0.1556731775,0.31279689749999995,0.195491995,0.191283245,0.377096875,0.296581825,0.2938701175,0.350254085,0.35404353
06-11,0.3430803,0.3070130125,0.2676183675,0.29955756499999997,0.31194452,0.323273,0.2993677575,0.172671095,0.3268801075,0.2359187825,0.2272546125,0.365403185,0.2860497,0.28576581999999995,0.34105876749999997,0.3495128475
06-16,0.32772044749999996,0.26730995,0.2491461525,0.2808467,0.3103771875,0.314934145,0.29780465,0.1968190025,0.33426175750000003,0.2760952925,0.2608610775,0.34827724250000003,0.2802692925,0.280162425,0.33432843500000003,0.34550301
06-21,0.30798592,0.22469564249999996,0.2315056275,0.25937734,0.305743665,0.304554055,0.2929352475,0.225868775,0.33328007000000004,0.3075933275,0.28633609250000003,0.32500964250000003,0.2759036075,0.274657525,0.32886737000000005,0.3423446125
06-26,0.2820226775,0.18686744500000002,0.2134576825,0.235124595,0.29615836500000003,0.2892286975,0.28244199999999997,0.2536823125,0.32250648249999997,0.327356535,0.303281645,0.29634326,0.270878725,0.267729465,0.3247041925,0.33977341250000004
07-01,0.24617895,0.1560823825,0.192840605,0.20806827749999998,0.27727518,0.264946875,0.2647062075,0.27324085750000005,0.300576835,0.333270165,0.311068955,0.258037195,0.2619384125,0.25777152999999997,0.3166771975,0.3303427775
07-06,0.2063630175,0.13491442350000002,0.1715190325,0.18175070750000002,0.2526163775,0.23570120249999998,0.244221725,0.28444500999999994,0.27361667,0.3312119275,0.31507826,0.21591259000000002,0.2513783525,0.2476585225,0.307357055,0.3178381525
07-11,0.16905983900000002,0.119842561,0.15400721625,0.15986646625,0.22702861000000002,0.20815906750000002,0.22590388,0.2952193175,0.24772590249999998,0.32898281250000005,0.3186925975,0.178079575,0.24350902500000002,0.24114665749999997,0.3010656375,0.3079208175
07-16,0.13877945125,0.107328806,0.1404522175,0.1428301825,0.2029623075,0.1848890725,0.2103538925,0.3068846575,0.22395494,0.32753025,0.32416463749999996,0.1488203575,0.23905378,0.23724748999999998,0.298528945,0.3020905125
07-21,0.117821345,0.10042897650000002,0.131684855,0.1317615235,0.18175002499999998,0.1680026485,0.19764574,0.317953385,0.20253124,0.3242367125,0.331851375,0.13075881849999998,0.2385680625,0.235542125,0.3016411275,0.3016316075
07-26,0.1057102825,0.0985445675,0.12691853250000001,0.12576991799999998,0.16379001,0.1563173835,0.1869189825,0.32528095999999995,0.18321069250000002,0.315569565,0.33933220499999994,0.1237082625,0.240145005,0.2339454375,0.3082213625,0.305050695
07-31,0.09845173750000001,0.09770219599999999,0.12302741750000001,0.1217626865,0.14797154750000002,0.14638106,0.17626529,0.32344431749999997,0.1651308675,0.29621612249999996,0.34181633499999997,0.12283930500000001,0.23824129500000002,0.2288464675,0.31006178500000003,0.30219209
08-05,0.09527185075,0.09829688099999999,0.12115796625,0.119962085,0.1363752315,0.140053409,0.1683742875,0.317456305,0.15125979499999997,0.2735222575,0.3408383875,0.12794615,0.23552961499999997,0.22344346999999998,0.30921137499999996,0.2983641375
08-10,0.0946083485,0.10002196499999999,0.12146154,0.11998847374999999,0.129364156,0.1361208225,0.162898765,0.309017775,0.141301615,0.25071356,0.33664308,0.13673189,0.23271695999999997,0.21942793249999998,0.30734551,0.29491408
08-15,0.095115806,0.1015281635,0.122595745,0.12106499100000001,0.12485697899999999,0.1341909985,0.1592183925,0.2990513225,0.13451061749999998,0.2297020025,0.331671035,0.1449941075,0.2305785725,0.21695954499999998,0.30537433,0.29182602249999995
08-20,0.095177595,0.10231290625,0.12374304750000001,0.12227859499999999,0.12057458374999999,0.1327160225,0.15601247499999998,0.28668811,0.1301148175,0.2096520025,0.326557825,0.1501335175,0.2283919775,0.21527717749999997,0.30296679000000004,0.28826235499999997
08-25,0.094955385,0.10338699750000001,0.1255396535,0.12419563,0.11552540500000001,0.13140495000000002,0.153394295,0.27403432,0.1277181075,0.19004381250000002,0.32452898750000003,0.1519004725,0.2280124175,0.21600155,0.302822775,0.2864359125
08-30,0.0958744435,0.10678473275,0.12938833,0.1280106325,0.11131989,0.131574995,0.15295206749999998,0.2629968525,0.12693743899999999,0.1714316575,0.32633391500000003,0.1494073975,0.230886695,0.22048767749999998,0.305526195,0.2857261075
09-04,0.097731805,0.1129810925,0.1348183725,0.1330601375,0.11007437349999999,0.13314467,0.15217756,0.24749525,0.1268470635,0.1535886075,0.322010385,0.140969815,0.2309272225,0.22386308,0.3033004325,0.2827503525
09-09,0.1023554585,0.12401748624999999,0.143509035,0.14108631625,0.11275539475,0.1382483525,0.1533314425,0.23238782750000003,0.12864423649999998,0.1403016925,0.3144826975,0.1301321575,0.23246321749999999,0.2296937575,0.30300235,0.2838434275
09-14,0.10744635625,0.13754607000000002,0.15186421,0.148793615,0.11613722625,0.14455522125,0.1536710625,0.21451301500000003,0.12958487624999998,0.1289922465,0.30139725,0.116938995,0.231735375,0.2338203225,0.3012560825,0.283884735
09-19,0.11329524375,0.15449524,0.15930653749999998,0.1559593825,0.12062534,0.15182703,0.15386004,0.19657782875000002,0.1301258025,0.1196085125,0.2879005075,0.10732461725,0.230925755,0.23660640500000002,0.30013962,0.2840093
09-24,0.12073252374999999,0.17436458,0.16672355,0.16334426,0.12714988249999998,0.160455305,0.15520237750000002,0.17941710375000003,0.1318313675,0.11260732350000001,0.27625537,0.102979164,0.2310828925,0.23857153250000002,0.299410615,0.28120946
09-29,0.13086810499999998,0.1966132775,0.17450767,0.1713730175,0.13712791749999997,0.17051110249999998,0.1584086375,0.1635988075,0.1355436175,0.107669555,0.2661765725,0.1035761975,0.2328499175,0.2412186225,0.29916683000000005,0.276788825
10-04,0.1453955775,0.221776995,0.1851605975,0.182183115,0.152170005,0.18357932,0.164350505,0.1500984775,0.14328575,0.1057792665,0.258119985,0.10950842375,0.2385543325,0.24648944,0.301611555,0.2749046
10-09,0.1638878725,0.2461263475,0.198374565,0.1956833475,0.170064745,0.19854720250000002,0.17327492249999998,0.14287471100000002,0.155236635,0.10779848349999999,0.2526887825,0.12065467625000001,0.2481964525,0.254241195,0.30741143,0.27668419
10-14,0.18154830499999997,0.2645256975,0.2088508125,0.20764842,0.18538714,0.211520525,0.1808712725,0.13816682900000002,0.167500965,0.1117906975,0.24334234249999998,0.1339123885,0.2532887275,0.258761055,0.308888425,0.2758742725
10-19,0.1990477075,0.27983969750000004,0.2183191075,0.2193150825,0.2001318675,0.22440014,0.1883893325,0.13564482625000002,0.18088494500000002,0.1169614675,0.22964400000000001,0.14929258750000002,0.255469035,0.261802415,0.307578535,0.2731458075
10-24,0.215881555,0.2924704675,0.2276263225,0.23072365749999998,0.21440168999999998,0.2371156275,0.19644641999999998,0.1368866635,0.1951831825,0.1237283475,0.214587525,0.1655164875,0.256571275,0.2645986725,0.30516672,0.268937365
