MM-DD,winter_wheat,winter_barley,winter_rye,other_winter_cereals,spring_wheat,spring_barley,spring_oats,maize,beans_lupins_peas,potatoes,sugar_beet,rapeseed,clover_alfalfa,arable_grass,permanent_grass,fruit_trees
03-03,0.05632098598900319,0.07052279612092949,0.0583285057466319,0.05708171244424188,0.0475530821375585,0.04755375383353654,0.0475302406784556,0.053149637108842775,0.04829935696090553,0.0460073812783523,0.04946184855247477,0.07367798682785832,0.06839966631801712,0.07556014700311364,0.07127825588142216,0.0590971608406338
03-08,0.05797733026792142,0.07226490948873542,0.05944841173669265,0.05873508645964193,0.04837481589284847,0.04742389087477597,0.04732504142778773,0.05373756614150602,0.048391345843086,0.04595640626392985,0.05040697415251935,0.07532366177148252,0.07038228313158343,0.0765444444315779,0.07287338072425349,0.06020952934599402
03-13,0.060275616194124304,0.0747184339135225,0.0612193606766934,0.060662703357232076,0.049333309089617625,0.04698082560844413,0.04679184609206792,0.053883078820697476,0.047800083007826746,0.04521461214591727,0.051118628040803527,0.07765626052284533,0.07199438451537628,0.07653303503600782,0.07451953754362242,0.06087883943594445
03-18,0.06037428463130483,0.07469150904280772,0.0619788412236074,0.06138656603856555,0.049677500307112946,0.04625268039326243,0.04593355705340772,0.05347906767920128,0.046680380450052274,0.043909194159152926,0.05081428575024958,0.07774467493674075,0.07258694688275108,0.07591174299986263,0.07452809490173656,0.060713074993335725
03-23,0.06083324644265373,0.07517444458372385,0.06270604561532067,0.0620292886266721,0.04962645976861115,0.04504201265235565,0.044927911238540875,0.052724499943335154,0.04521993280629277,0.042219982069862,0.04970613478745022,0.07864632936101913,0.07275408229567207,0.0751644612244448,0.07415080568857899,0.06039581580403925
03-28,0.06274865745005564,0.07740908825573077,0.0644549201534648,0.06345165340048242,0.04893468053057525,0.04343732242513658,0.043829160208752375,0.05186079544391973,0.04384958936244415,0.04051291770075627,0.047391477320894174,0.08115329234903726,0.0733206851246434,0.0753304984671225,0.07449492498820663,0.06058156707168462
04-02,0.0655189328892044,0.08035638565489538,0.06711630699606992,0.06540287463406522,0.04713328079475993,0.041763029461527726,0.04260610858406402,0.05091025772393338,0.04283777194984235,0.03918428984641385,0.044591485191642646,0.08418045167519504,0.07424889916948542,0.0766398723422142,0.07561572359461292,0.06144623327275975
04-07,0.06907806374882616,0.08358746500593864,0.0706675665976707,0.06847063922927363,0.044790722856502,0.041011354766990374,0.041894873144605674,0.05056878631346015,0.042993620328110875,0.038958325180483054,0.042338877352527476,0.08740323803984193,0.07645163302360117,0.07970974772207784,0.07815435908475037,0.06369052635156637
04-12,0.07291163425935004,0.0871987697920699,0.0754368830901476,0.073337412175283,0.043056529791490175,0.0416714341180007,0.04193274218665542,0.051336238121518704,0.044636288116916556,0.04003622341500228,0.04128910176888645,0.09026060981779774,0.08033468303665342,0.08444788183463137,0.08260374954232527,0.0672911556087964
04-17,0.07911976928152392,0.09300739129256283,0.08092033636849473,0.07978586535281496,0.0433357678093231,0.04435628791241063,0.043576832945067576,0.05308619933832107,0.04769586942213777,0.041904910014702396,0.042555211616904724,0.09446806238036456,0.08627073876307674,0.0913485628059477,0.08934600809243862,0.07403361110255112
04-22,0.08557159090044698,0.09865440562830878,0.08591401711641691,0.0861749632761438,0.04565134380253555,0.049148058910883176,0.04693371836280322,0.055254848507463275,0.05214068538188135,0.044172887989097374,0.045293814326657855,0.09742053722924396,0.09237443330358083,0.09849751983494161,0.0967034646094898,0.08271008707325636
04-27,0.09076623609834213,0.10270801293502438,0.08966810501065026,0.09112773683571565,0.04800231342261055,0.05456779984950272,0.05077146873307847,0.0562822296904487,0.056587728655569824,0.04596099210041235,0.0476660514844305,0.09789049554361504,0.09709779636607335,0.10418258943730652,0.1033745454605172,0.09132476188762713
05-02,0.09388932259497723,0.10402354271189658,0.09113523148711337,0.09369524763996864,0.05124637213229137,0.06109583600770528,0.055173246864667805,0.05568305024491927,0.060605557914817865,0.04714364107445525,0.04920736244379692,0.0958656876435346,0.09921428850932615,0.10710978197562054,0.1082359990469262,0.0983531499607095
05-07,0.0957252488725857,0.1037491267164143,0.09118166610169905,0.09466771482392108,0.05597318719692952,0.06889663885497166,0.060398956994379804,0.054569915862118276,0.065210077300065,0.0481883466119716,0.050119828261343126,0.09403376805783364,0.09931471362103508,0.10756011351072489,0.11099302008750979,0.1034087283942833
05-12,0.09689150074545552,0.10280923025083778,0.08996402926179059,0.09464649168371636,0.06221211597967407,0.07746711495252982,0.06631407628096575,0.054251436762524544,0.0711101493610172,0.049973095818046404,0.051625526465753926,0.09404218571750407,0.09725893124105445,0.10518884891417445,0.11129421358383244,0.10560177904076763
05-17,0.09761334252453066,0.101883590688625,0.0871450826327479,0.09366734866505562,0.06921356127248035,0.0859683258848235,0.07237506963622475,0.05428431608078313,0.07805403822593317,0.05249370031935172,0.053615262359942975,0.09655406531603393,0.09343159737195429,0.09999770443678602,0.10950630799007854,0.10526791336191843
05-22,0.09869018742959505,0.10183019599803511,0.08392872865309037,0.09244905115639097,0.07557605024690046,0.09261371372493252,0.0776393691643215,0.0548774748684474,0.08503249447320772,0.05626559473067185,0.05606932525705473,0.10150411140746292,0.08901813506937073,0.09368627609518618,0.10653662979404395,0.10398221194526056
05-27,0.10065916765681662,0.10208645189011399,0.08069552714592093,0.091395205048156,0.08116624799101844,0.0971926329399817,0.0821759377688415,0.057158637833200125,0.09095425772188488,0.0634839427361254,0.059769404589076924,0.1062237185986078,0.08539127156392907,0.08829460829743922,0.10345871994572642,0.1032244236848557
